x,y,f_true,interp
-0.564990,-0.290329,0.36848296,0.36848293
-0.764400,-0.814293,0.25265346,0.25265347
0.344965,0.849234,0.44283132,0.4428313
-0.941121,-0.618658,0.17164552,0.17164556
0.287335,0.866744,0.43684733,0.43684733
0.289516,-0.883321,0.41699569,0.41699567
-0.160509,0.150359,0.82104987,0.82104988
0.632710,-0.701782,0.51545995,0.51545996
-0.371251,0.405832,0.53026302,0.53026304
-0.422386,0.590629,0.44213138,0.44213139
-0.025321,-0.833445,0.49737702,0.49737704
-0.591119,-0.712575,0.32531841,0.3253184
-0.465535,-0.612452,0.40821812,0.40821812
0.914282,0.902785,0.17754798,0.177548
0.755972,-0.717253,0.42934073,0.42934074
-0.844860,0.480455,0.19422171,0.1942217
0.462103,-0.293919,1.0173084,1.0173084
-0.760338,-0.314643,0.22867108,0.22867106
0.506277,0.717030,0.55510782,0.55510781
-0.187480,-0.191105,0.78199642,0.78199644
-0.323572,0.209198,0.62653272,0.62653273
0.827887,-0.207949,0.76862046,0.76862046
0.792745,0.322195,0.74920649,0.7492065
-0.881420,0.904680,0.21909403,0.21909402
-0.892397,-0.075422,0.17449242,0.17449244
-0.670614,0.517662,0.28030121,0.28030121
0.360468,-0.720886,0.59629009,0.59629008
-0.638241,0.575130,0.29944991,0.29944989
-0.402670,-0.817177,0.40659185,0.40659184
-0.281603,-0.169830,0.6814554,0.68145539
0.931150,-0.357762,0.57315597,0.57315596
-0.407718,-0.368796,0.50435608,0.50435608
-0.729031,0.547090,0.24823493,0.24823491
0.669347,-0.519900,0.69408512,0.69408511
-0.598940,0.609251,0.32257833,0.32257833
0.490745,0.629082,0.66898643,0.66898642
-0.079816,-0.536892,0.70538804,0.70538803
-0.420919,0.019716,0.53350365,0.53350366
-0.236794,0.693658,0.52251729,0.52251733
0.915149,-0.574102,0.44631752,0.4463175
-0.940912,-0.444060,0.16552296,0.16552297
0.168893,0.693349,0.64643659,0.64643659
-0.694794,-0.341584,0.26716936,0.26716933
0.191264,0.502233,0.84874981,0.8487498
0.400978,-0.353312,0.98886202,0.98886203
-0.482427,-0.059538,0.46445739,0.46445743
-0.666061,0.246918,0.28915264,0.28915264
-0.544623,-0.895526,0.34742815,0.34742818
-0.632628,0.198596,0.31640092,0.31640092
0.356217,-0.376988,0.97595187,0.97595188
-0.860284,0.386898,0.186143,0.18614299
-0.666529,-0.724656,0.2875892,0.28758915
0.533755,-0.936494,0.27387875,0.27387866
-0.220711,0.204448,0.74227679,0.74227679
-0.432569,-0.774619,0.40090347,0.40090347
0.406970,-0.660086,0.6592546,0.65925463
0.475613,-0.257779,1.0367385,1.0367385
-0.916784,-0.328168,0.16912174,0.16912173
-0.532783,0.359029,0.39033185,0.39033186
-0.415326,-0.770618,0.40962955,0.40962956
0.534072,0.418170,0.87960783,0.87960783
0.306211,0.179664,1.1115252,1.1115252
0.816663,-0.301324,0.73587357,0.73587357
-0.292639,0.871700,0.42893708,0.4289371
0.042172,-0.805551,0.52612365,0.52612362
0.566043,-0.815897,0.40830085,0.40830086
-0.095640,-0.581337,0.66523304,0.66523304
-0.121997,0.332982,0.79504615,0.79504616
-0.234928,-0.926208,0.41996063,0.41996054
-0.404854,-0.271565,0.52644404,0.52644404
-0.294064,-0.200711,0.66135397,0.66135395
-0.058199,-0.335954,0.84850517,0.84850517
0.386584,-0.305407,1.0300644,1.0300644
0.424662,-0.847619,0.42083252,0.42083254
-0.924045,-0.806563,0.19145055,0.19145058
-0.025985,0.373588,0.85137217,0.85137221
0.401839,0.005212,1.1462332,1.1462332
-0.316569,0.272404,0.62030515,0.62030518
-0.563512,-0.081385,0.38141147,0.38141145
0.512164,-0.236160,1.0330434,1.0330434
-0.930640,0.027832,0.16588429,0.16588426
-0.600896,0.592337,0.32188211,0.32188208
-0.330577,-0.949543,0.39939701,0.39939693
-0.377487,-0.482746,0.50393862,0.50393863
-0.892832,0.813852,0.20316462,0.20316462
-0.635041,-0.452080,0.30428753,0.30428751
-0.909071,-0.671727,0.1841233,0.18412327
-0.539776,0.433774,0.37652367,0.37652368
-0.375780,-0.272733,0.55689745,0.55689747
-0.021112,-0.341870,0.87422238,0.87422236
0.016933,-0.115984,1.0008454,1.0008454
