run,step,t,h,err_est,err_true
24,15,4.5261529,0.38605525,1.6172269e-05,4.888469e-06
24,16,4.9122082,0.087791817,1.1505468e-08,7.1664497e-10
25,0,0,0.05,6.2842131e-10,2.1695978e-11
25,1,0.05,0.1,1.9589467e-08,1.3115997e-09
25,2,0.15,0.2,5.9235721e-07,9.2978197e-08
25,3,0.35,0.37510148,1.5580682e-05,4.682278e-06
25,4,0.72510148,0.35469385,1.4257289e-05,3.6740315e-06
25,5,1.0797953,0.31999391,8.7769117e-06,1.9020006e-06
25,6,1.3997892,0.3410997,1.1134203e-05,2.3796455e-06
25,7,1.7408889,0.36288808,1.2184806e-05,3.4567305e-06
25,8,2.103777,0.33394448,9.8281855e-06,2.4808014e-06
25,9,2.4377215,0.33356312,1.0787761e-05,2.5378821e-06
