rep,th0,se0,hit0,th1,se1,hit1,hit_all
42,2.029859,0.036692,1,0.828451,0.022996,1,1
43,2.037620,0.048900,1,0.784549,0.029085,1,1
44,2.085284,0.060180,1,0.816593,0.036241,1,1
45,1.977752,0.035504,1,0.803600,0.022222,1,1
46,2.018787,0.049614,1,0.815152,0.030813,1,1
47,2.007199,0.043975,1,0.803246,0.027110,1,1
48,1.959418,0.045718,1,0.806103,0.028963,1,1
49,2.014697,0.045765,1,0.802425,0.028083,1,1
50,1.982787,0.041563,1,0.764045,0.024825,1,1
51,1.954910,0.047310,1,0.763117,0.028631,1,1
52,2.005683,0.042378,1,0.764871,0.025047,1,1
53,1.994892,0.036155,1,0.780463,0.021864,1,1
54,1.936524,0.047552,1,0.766947,0.029177,1,1
55,2.089951,0.058721,1,0.838997,0.036158,1,1
56,2.003304,0.042330,1,0.784439,0.025605,1,1
57,1.965740,0.039116,1,0.807121,0.024729,1,1
58,2.102238,0.037591,0,0.871699,0.023836,0,0
59,1.963547,0.055565,1,0.759900,0.033357,1,1
60,1.984340,0.046263,1,0.796612,0.028637,1,1
61,1.947078,0.047536,1,0.762307,0.028857,1,1
62,2.004371,0.036388,1,0.810302,0.022640,1,1
63,2.014723,0.041170,1,0.787257,0.024840,1,1
64,2.005434,0.042470,1,0.785230,0.025685,1,1
65,2.017791,0.039568,1,0.787831,0.023853,1,1
66,1.974187,0.044869,1,0.768365,0.027048,1,1
67,2.009956,0.049375,1,0.831609,0.031360,1,1
68,2.024396,0.043563,1,0.827340,0.027343,1,1
69,2.047145,0.056421,1,0.843191,0.035629,1,1
70,1.938535,0.039296,1,0.782939,0.024523,1,1
71,1.978266,0.047709,1,0.821516,0.030449,1,1
72,2.037987,0.044541,1,0.892241,0.029774,0,0
73,2.055088,0.055833,1,0.838111,0.034929,1,1
74,2.025546,0.043488,1,0.827409,0.027282,1,1
75,1.995320,0.045559,1,0.792444,0.027917,1,1
76,2.044005,0.035587,1,0.791994,0.021276,1,1
77,1.967608,0.048191,1,0.790582,0.029883,1,1
78,2.040919,0.046363,1,0.812246,0.028391,1,1
79,2.073979,0.055498,1,0.799657,0.032981,1,1
80,2.068678,0.049099,1,0.797891,0.029195,1,1
81,1.969070,0.045997,1,0.780616,0.028186,1,1
82,1.953636,0.041771,1,0.743577,0.024740,0,0
83,2.000981,0.053142,1,0.852260,0.034671,1,1
84,1.978090,0.035912,1,0.769666,0.021638,1,1
85,2.057995,0.046019,1,0.845445,0.028978,1,1
86,2.046027,0.045364,1,0.805197,0.027494,1,1
87,2.151583,0.049839,0,0.876258,0.031028,0,0
88,1.897608,0.044943,0,0.742767,0.027379,0,0
89,1.960603,0.057883,1,0.739326,0.033995,1,1
90,1.970796,0.053673,1,0.816473,0.034195,1,1
91,2.056261,0.043841,1,0.855699,0.027938,1,1
92,2.002103,0.050078,1,0.818549,0.031478,1,1
93,2.006986,0.047790,1,0.766192,0.028269,1,1
94,2.014949,0.047812,1,0.829762,0.030231,1,1
95,2.082831,0.047883,1,0.841779,0.029674,1,1
96,2.029796,0.054001,1,0.790452,0.032455,1,1
97,1.971645,0.047867,1,0.771816,0.029005,1,1
98,2.044439,0.048567,1,0.814315,0.029757,1,1
99,2.079266,0.044583,1,0.802179,0.026501,1,1
100,1.931373,0.061336,1,0.786869,0.038588,1,1
101,2.003210,0.056066,1,0.816076,0.035127,1,1
102,2.047970,0.047513,1,0.828971,0.029532,1,1
103,2.021808,0.047184,1,0.777188,0.028051,1,1
104,1.999443,0.048253,1,0.789908,0.029423,1,1
105,1.951724,0.046645,1,0.773762,0.028616,1,1
106,1.981073,0.046158,1,0.789553,0.028396,1,1
107,2.057022,0.036940,1,0.811232,0.022418,1,1
108,1.986254,0.047928,1,0.779880,0.029091,1,1
109,1.969578,0.039444,1,0.791112,0.024449,1,1
110,1.963164,0.038584,1,0.747919,0.022854,0,0
111,2.030187,0.046702,1,0.823208,0.029098,1,1
112,1.895710,0.043592,0,0.759698,0.027099,1,0
113,1.906017,0.045725,0,0.756740,0.028177,1,0
114,1.983388,0.050943,1,0.773018,0.030728,1,1
115,1.995286,0.037440,1,0.823142,0.023734,1,1
116,2.061626,0.041986,1,0.827843,0.025891,1,1
117,1.997496,0.034224,1,0.778161,0.020616,1,1
118,1.945676,0.054676,1,0.806427,0.034895,1,1
119,1.953180,0.048598,1,0.765966,0.029531,1,1
120,1.989649,0.037741,1,0.800147,0.023392,1,1
121,1.955011,0.046664,1,0.762895,0.028231,1,1
122,2.082824,0.054824,1,0.841221,0.033955,1,1
123,2.002532,0.045846,1,0.801526,0.028275,1,1
124,1.903110,0.042439,0,0.752417,0.026064,1,0
125,1.989541,0.035960,1,0.839108,0.023263,1,1
126,1.970696,0.040612,1,0.773437,0.024666,1,1
127,1.945284,0.042113,1,0.790072,0.026399,1,1
128,1.977785,0.040995,1,0.779164,0.024969,1,1
129,1.967365,0.040046,1,0.766564,0.024175,1,1
130,1.924786,0.053002,1,0.781760,0.033268,1,1
131,2.066234,0.053446,1,0.831407,0.033013,1,1
132,1.997290,0.046762,1,0.766562,0.027807,1,1
133,1.996597,0.037726,1,0.799607,0.023287,1,1
134,2.087061,0.045310,1,0.831407,0.027709,1,1
135,2.041205,0.045158,1,0.823511,0.027993,1,1
136,2.014569,0.049889,1,0.807847,0.030800,1,1
137,2.023716,0.046013,1,0.805752,0.028213,1,1
138,1.966417,0.037054,1,0.759867,0.022211,1,1
139,2.016218,0.050530,1,0.791404,0.030606,1,1
140,2.013187,0.038336,1,0.803731,0.023576,1,1
141,1.933931,0.051660,1,0.751220,0.031179,1,1
142,2.043534,0.042678,1,0.823134,0.026415,1,1
143,2.027477,0.038126,1,0.790642,0.022945,1,1
144,2.140555,0.051880,0,0.840869,0.031254,1,0
145,2.013967,0.055152,1,0.775727,0.032862,1,1
146,1.989549,0.059859,1,0.830174,0.038348,1,1
147,1.914385,0.041450,0,0.741749,0.025001,0,0
148,1.962891,0.034956,1,0.830567,0.022708,1,1
149,2.075773,0.053287,1,0.831443,0.032765,1,1
150,2.028400,0.046298,1,0.813448,0.028564,1,1
151,2.007510,0.043163,1,0.746486,0.024961,0,0
152,1.981478,0.050608,1,0.834968,0.032724,1,1
153,1.971150,0.051817,1,0.785669,0.031899,1,1
154,2.049567,0.048746,1,0.815883,0.029843,1,1
155,2.014546,0.048821,1,0.825404,0.030728,1,1
156,1.996780,0.048735,1,0.767912,0.029032,1,1
157,1.920736,0.043488,1,0.796241,0.027799,1,1
158,2.064632,0.043846,1,0.848788,0.027621,1,1
159,1.986538,0.044346,1,0.805922,0.027705,1,1
160,2.002004,0.040369,1,0.780876,0.024337,1,1
161,1.975607,0.046658,1,0.762973,0.027936,1,1
162,1.959977,0.035274,1,0.798986,0.022165,1,1
163,1.998491,0.045955,1,0.765126,0.027266,1,1
164,1.921639,0.056687,1,0.762672,0.034882,1,1
165,2.097008,0.041748,0,0.815610,0.024973,1,0
166,1.936433,0.048246,1,0.781199,0.030082,1,1
167,1.986262,0.045660,1,0.770751,0.027431,1,1
168,2.068781,0.041458,1,0.852003,0.026155,1,1
169,2.038691,0.051589,1,0.779016,0.030478,1,1
170,2.018300,0.051580,1,0.824198,0.032362,1,1
171,2.011114,0.054978,1,0.797179,0.033600,1,1
172,2.030247,0.041568,1,0.785190,0.024831,1,1
173,2.016545,0.046889,1,0.803661,0.028785,1,1
